Order in MCM.xml, Compound, SMILES, density, temperature, critical temperature, boil point
90, CH3S, C[S], 441.1565648234251 + 221.96163479077998im, 298, 144.23948705981394, 84.3395
194, ACO3, [O]OC(=O)C=C, 509.17841096018736 + 57.09766639684056im, 298, 297.79070047923557, 176.0571229018517
474, CH3SOO2, CS(=O)O[O], 931.2826430628485 + 673.8791840282408im, 298, 144.23948705981394, 84.3395
522, CH3SOOOH, CS(=O)OO, 826.5764362923607 + 600.3501157261448im, 298, 144.23948705981394, 84.3395
590, DMSO, CS(=O)C, 545.9247966105902 + 366.58941419784793im, 298, 144.23948705981394, 84.3395
642, MALANHY, O=C1C=CC(=O)O1, 742.4689581618331 - 679.9554300516295im, 298, 167.47536463215582 - 5.33983875446995im, 92.0631825386615
649, CH3SCH2O2, CSCO[O], 614.3659150527874 + 323.34843934175365im, 298, 242.335896319166, 148.2225699370095
723, CH3SO4NO2, [O-][N+](=O)OOS(=O)(=O)C, 1000.9631141475692 + 848.1955115512345im, 298, 144.23948705981394, 84.3395
763, HODMSO2, [O]OS(C)(C)O, 665.7595240031201 + 507.94706783586895im, 298, 144.23948705981394, 84.3395
1080, EMALANHY, CCC1=CC(=O)OC1=O, 589.1530538644182 + 260.67323469427936im, 298, 274.1124811168971, 161.44402348148336
1310, CH3SCH2O, CSC[O], 495.70103674211447 + 245.01074669348006im, 298, 254.3117019999943, 155.54746369827362
1700, CH3SCHO, CSC=O, 589.7843453629779 + 391.77452329338735im, 298, 144.23948705981394, 84.3395
1748, CH3O, C[O], 496.1029722927454 + 243.66718565021344im, 298, 267.80526528918193, 161.4703166205133
1861, MSIA, CS(=O)O, 729.0235994703289 + 494.512929999724im, 298, 144.23948705981394, 84.3395
1869, C2H5CO3, CCC(=O)O[O], 628.5891521433646 + 273.2556550838235im, 298, 270.6032636318372, 168.71069371053284
1876, DMSO2O2, [O]OCS(=O)(=O)C, 796.0887603581782 + 442.45744458044345im, 298, 226.2235051910216, 138.36757091656534
1989, CH3CO3, CC(=O)O[O], 778.8274021873951 + 513.8387876719395im, 298, 202.87331641119118, 123.1229489099388
2148, HCOCO3, [O]OC(=O)C=O, 669.7409049236809 + 240.8090007506323im, 298, 290.4960205871184, 176.2509443794525
2157, CHCLOOA, [O-][O+]=CCl, 1082.9691429514558 - 758.2730789306212im, 298, 103.72988847015512 - 0.16399436736559328im, 60.449257081042504
2167, CH3SOO2NO2, [O-][N+](=O)OOS(=O)C, 967.1318015408821 + 794.4173385105603im, 298, 144.23948705981394, 84.3395
2313, CHOBR, BrC=O, 917.8402578030593 + 319.55393844088957im, 298, 289.11359799384115, 169.63966953064866
2985, CH3SO2CHO, O=CS(=O)(=O)C, 771.5112811669611 + 583.3277863786338im, 298, 144.23948705981394, 84.3395
3113, CH3SOO, CSO[O], 834.3735413503504 + 563.090505415955im, 298, 144.23948705981394, 84.3395
3159, CH3SO2O2, [O]OS(=O)(=O)C, 998.1421456502239 + 761.4430424051462im, 298, 144.23948705981394, 84.3395
3633, DMSO2, CS(=O)(=O)C, 642.926141973019 + 463.53772213831576im, 298, 144.23948705981394, 84.3395
3843, CH4, C, 275.9159554392346 + 151.66165979585733im, 298, 247.70521627407754, 150.33123738276015
4004, DMMALANHY, O=C1OC(=O)C(=C1C)C, 599.5065156572472 + 331.85547816462844im, 298, 255.87473904213616, 150.9723677253943
4329, CH3SO, CS[O], 686.3667169926586 + 418.15175904260667im, 298, 144.23948705981394, 84.3395
4459, DMSO2O, [O]CS(=O)(=O)C, 712.8807900021742 + 388.19528424786506im, 298, 233.33173361687597, 142.7152548584928
5231, CHCLOO, [O-][O+]=CCl, 1082.9691429514558 - 758.2730789306212im, 298, 103.72988847015512 - 0.16399436736559328im, 60.449257081042504
5255, MMALANHY, O=C1C=C(C)C(=O)O1, 668.629735999545 - 468.9574635670099im, 298, 217.12565589338152 - 3.227425203065763im, 123.1698989591161
5379, CH3SO2OOH, OOS(=O)(=O)C, 897.3532104994597 + 686.5687877118827im, 298, 144.23948705981394, 84.3395
5433, CH3SO3, CS(=O)(=O)[O], 931.2826430628485 + 673.8791840282408im, 298, 144.23948705981394, 84.3395
5576, MSA, CS(=O)(=O)O, 826.5764362923607 + 600.3501157261448im, 298, 144.23948705981394, 84.3395
5585, DMS, CSC, 416.80866865806314 + 251.91834688707453im, 298, 144.23948705981394, 84.3395
5604, CH3O2, CO[O], 834.3735413503504 + 563.090505415955im, 298, 144.23948705981394, 84.3395
5752, CH3SO2, C[S](=O)=O, 834.3735413503504 + 563.090505415955im, 298, 144.23948705981394, 84.3395
5776, BRETO3, [O]OC(=O)CBr, 971.078968563742 + 310.09552707569753im, 298, 287.60945760903957, 169.2646255331893
